Wall time,Step,Value
1745320007.1559188,2048,450.3475036621094
1745320045.0308669,4096,448.3988342285156
1745320082.8331666,6144,461.90606689453125
1745320120.5392613,8192,469.5555114746094
1745320158.1505792,10240,485.7658996582031
1745320195.5570073,12288,505.9126281738281
1745320233.276478,14336,538.477783203125
1745320270.5808082,16384,566.3472290039062
1745320308.373587,18432,602.1436767578125
1745320345.5174856,20480,638.3692016601562
1745320382.3273838,22528,683.6281127929688
1745320419.5248,24576,724.7382202148438
1745320456.7046947,26624,769.1688842773438
1745320493.8337123,28672,811.7383422851562
1745320531.196173,30720,860.5465087890625
1745320568.054059,32768,907.1605224609375
1745320604.9795132,34816,955.206298828125
1745320642.0719259,36864,1008.4417724609375
1745320678.965711,38912,1063.9599609375
1745320715.7778811,40960,1113.3917236328125
1745320755.4598324,43008,1172.7579345703125
1745320792.1716228,45056,1228.0343017578125
1745320829.6220667,47104,1280.7718505859375
1745320866.522804,49152,1340.4542236328125
1745320903.8808954,51200,1399.07861328125
1745320941.2428436,53248,1456.3076171875
1745320978.5729284,55296,1509.416748046875
1745321015.5355227,57344,1565.5968017578125
1745321052.711694,59392,1618.11328125
1745321089.8625183,61440,1678.0406494140625
1745321126.9765677,63488,1731.001953125
1745321164.0952048,65536,1786.6807861328125
1745321201.2373674,67584,1838.06494140625
1745321238.2750885,69632,1884.495849609375
1745321275.0707483,71680,1926.677978515625
1745321311.7748907,73728,1970.454833984375
1745321348.3588042,75776,2010.818603515625
1745321385.1999428,77824,2052.611572265625
1745321422.0696805,79872,2088.4658203125
1745321458.7810736,81920,2128.574951171875
1745321495.5651894,83968,2162.320068359375
1745321534.8545084,86016,2200.673095703125
1745321571.9060867,88064,2232.5673828125
1745321608.642979,90112,2269.28369140625
1745321645.5716102,92160,2301.275146484375
1745321682.5143247,94208,2336.47265625
1745321719.1425226,96256,2362.22705078125
1745321755.7101758,98304,2390.63623046875
1745321792.6005042,100352,2415.455322265625
1745321829.3795552,102400,2437.823486328125
1745321866.3531797,104448,2456.294677734375
1745321903.339944,106496,2476.84814453125
1745321939.9541585,108544,2490.5888671875
1745321976.5487301,110592,2505.164794921875
1745322013.0718431,112640,2520.15478515625
1745322049.7233946,114688,2533.59228515625
1745322086.2882228,116736,2547.67626953125
1745322123.0802379,118784,2560.734130859375
1745322159.8708045,120832,2571.043212890625
1745322196.7089329,122880,2583.153564453125
1745322233.3954487,124928,2591.48193359375
1745322270.3506808,126976,2600.83984375
1745322309.8700337,129024,2609.692626953125
1745322346.8317437,131072,2618.503662109375
1745322383.8050485,133120,2625.1884765625
1745322420.5067987,135168,2630.2275390625
