Wall time,Step,Value
1746030049.3702118,5000,-27.42989730834961
1746030158.105365,9000,-27.191354751586914
1746030266.0661175,13000,-26.813974380493164
1746030373.5139656,17000,-26.262922286987305
1746030481.5756197,21000,-25.61628532409668
1746030589.5192614,25000,-24.900371551513672
1746030697.6612868,29000,-24.15039825439453
1746030805.6979494,33000,-23.305713653564453
1746030912.9909923,37000,-22.476804733276367
1746031021.2772226,41000,-21.550111770629883
1746031144.1329982,46000,-20.708669662475586
1746031251.7826622,50000,-19.822153091430664
1746031359.1254447,54000,-18.982757568359375
1746031466.4096963,58000,-18.216537475585938
1746031574.2255707,62000,-17.472959518432617
1746031681.5317497,66000,-16.90958023071289
1746031788.6693473,70000,-16.54014778137207
1746031896.1614187,74000,-16.22980308532715
1746032003.2416952,78000,-15.878982543945312
1746032108.4642606,82000,-15.38753890991211
1746032227.5798361,87000,-15.07538890838623
1746032332.291283,91000,-14.815823554992676
1746032436.907837,95000,-14.435493469238281
1746032541.6576807,99000,-13.982666015625
1746032646.3698564,103000,-13.903959274291992
1746032751.1009068,107000,-13.480356216430664
1746032857.2657216,111000,-12.954951286315918
1746032963.9944322,115000,-12.52072811126709
1746033069.6602554,119000,-12.348065376281738
1746033174.7546444,123000,-11.978410720825195
1746033280.0905676,127000,-11.784818649291992
1746033402.6515398,132000,-11.510390281677246
1746033508.502783,136000,-11.113900184631348
1746033612.6644056,140000,-11.148125648498535
1746033718.0534904,144000,-11.231407165527344
1746033823.5385733,148000,-11.423605918884277
1746033928.9360514,152000,-10.922860145568848
1746034035.4493356,156000,-10.69148063659668
1746034141.279755,160000,-10.907196998596191
1746034246.0043452,164000,-11.680985450744629
1746034350.9896283,168000,-11.000463485717773
1746034470.0963311,173000,-10.84381103515625
1746034574.3552852,177000,-10.375408172607422
1746034678.5854483,181000,-9.987295150756836
1746034782.8671947,185000,-9.770183563232422
1746034887.0572054,189000,-9.85131549835205
1746034991.797478,193000,-11.18519115447998
1746035096.4832284,197000,-9.50225830078125
1746035200.6382132,201000,-9.81470775604248
1746035304.7728188,205000,-9.847762107849121
1746035408.834071,209000,-8.961233139038086
1746035513.0367835,213000,-8.830904006958008
1746035631.817935,218000,-8.735550880432129
1746035736.0786414,222000,-8.464986801147461
1746035839.8483548,226000,-8.163673400878906
1746035943.9610023,230000,-8.16990852355957
1746036047.854994,234000,-8.891590118408203
1746036151.8786874,238000,-9.44433307647705
1746036256.1556997,242000,-9.023704528808594
