number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_epochs,params_n_steps,params_s_min,state
0,-40.458885192871094,2025-03-19 02:22:59.006248,2025-03-19 02:28:13.099219,0 days 00:05:14.092971,0.3,32,0.7,0.2,7.476312062252303e-05,0.9,0.99,5.6115164153345e-05,5,2048,10.0,COMPLETE
1,588.4727783203125,2025-03-19 02:28:13.099219,2025-03-19 02:34:33.525962,0 days 00:06:20.426743,0.5,64,0.3,0.1,0.00043664735929796326,0.95,0.995,1.2385137298860926e-05,20,2048,5.0,COMPLETE
2,524.1427612304688,2025-03-19 02:34:33.525962,2025-03-19 02:43:58.474405,0 days 00:09:24.948443,0.7,32,0.3,0.3,1.667761543019792e-05,0.98,0.99,1.2315571723666024e-05,20,4096,10.0,COMPLETE
3,-182.86978149414062,2025-03-19 02:43:58.474405,2025-03-19 02:48:42.944683,0 days 00:04:44.470278,0.3,64,0.7,0.2,0.0001702741688676439,0.95,0.95,0.00018841476921545086,5,2048,10.0,COMPLETE
4,503.7508850097656,2025-03-19 02:48:42.948237,2025-03-19 02:56:21.020615,0 days 00:07:38.072378,0.5,64,0.3,0.3,9.324140221663475e-05,0.9,0.99,0.00040489662225846743,20,4096,5.0,COMPLETE
5,-123.05841064453125,2025-03-19 02:56:21.020615,2025-03-19 03:02:35.831169,0 days 00:06:14.810554,0.3,64,0.7,0.2,1.865818136012483e-05,0.95,0.995,1.1851515660043103e-05,20,2048,8.0,COMPLETE
6,754.7694091796875,2025-03-19 03:02:35.831169,2025-03-19 03:10:10.764298,0 days 00:07:34.933129,0.7,32,0.3,0.3,0.0007930569433855138,0.9,0.995,0.0001951396765593445,10,4096,5.0,COMPLETE
7,-64.28242492675781,2025-03-19 03:10:10.764298,2025-03-19 03:16:43.334925,0 days 00:06:32.570627,0.3,32,0.3,0.1,1.9099601385505377e-05,0.95,0.99,0.0006267702540388485,10,2048,8.0,COMPLETE
8,-201.6739959716797,2025-03-19 03:16:43.334925,2025-03-19 03:25:25.937365,0 days 00:08:42.602440,0.3,128,0.5,0.1,0.00014298589094443974,0.98,0.95,0.0001424976719890158,20,8192,10.0,COMPLETE
9,-364.04010009765625,2025-03-19 03:25:25.937365,2025-03-19 03:38:08.237999,0 days 00:12:42.300634,0.5,32,0.3,0.3,0.004677524010176147,0.98,0.995,0.0009552294429449872,20,8192,10.0,COMPLETE
10,680.0404052734375,2025-03-19 03:38:08.237999,2025-03-19 03:44:00.641955,0 days 00:05:52.403956,0.7,128,0.5,0.3,0.0011746931059660698,0.9,0.995,4.194601131160366e-05,10,4096,5.0,COMPLETE
11,807.0828857421875,2025-03-19 03:44:00.641955,2025-03-19 03:50:00.612873,0 days 00:05:59.970918,0.7,128,0.5,0.3,0.001326429162132363,0.9,0.995,5.1544513708209705e-05,10,4096,5.0,COMPLETE
12,761.4583740234375,2025-03-19 03:50:00.612873,2025-03-19 03:55:52.643964,0 days 00:05:52.031091,0.7,128,0.5,0.3,0.0017411879445801653,0.9,0.995,6.411691587694977e-05,10,4096,5.0,COMPLETE
13,818.6492919921875,2025-03-19 03:55:52.654903,2025-03-19 04:01:52.145182,0 days 00:05:59.490279,0.7,128,0.5,0.3,0.004510758226430418,0.9,0.995,4.583100027692072e-05,10,4096,5.0,COMPLETE
14,764.3817138671875,2025-03-19 04:01:52.145182,2025-03-19 04:07:57.433712,0 days 00:06:05.288530,0.7,128,0.5,0.3,0.00867514565549096,0.9,0.995,2.793441543946284e-05,10,4096,5.0,COMPLETE
15,713.0093383789062,2025-03-19 04:07:57.433712,2025-03-19 04:13:48.310084,0 days 00:05:50.876372,0.7,128,0.5,0.3,0.002753417281226987,0.9,0.995,2.9652021606646726e-05,10,4096,5.0,COMPLETE
16,525.2630004882812,2025-03-19 04:13:48.312084,2025-03-19 04:19:49.601174,0 days 00:06:01.289090,0.7,128,0.5,0.3,0.007864978751369765,0.9,0.95,9.380073543753393e-05,10,4096,8.0,COMPLETE
17,810.5730590820312,2025-03-19 04:19:49.601174,2025-03-19 04:26:56.620766,0 days 00:07:07.019592,0.7,128,0.5,0.3,0.0005214229986704393,0.9,0.995,2.3508062239150255e-05,5,8192,5.0,COMPLETE
18,730.1632690429688,2025-03-19 04:26:56.620766,2025-03-19 04:34:05.673868,0 days 00:07:09.053102,0.7,128,0.5,0.1,0.0004174886589853533,0.9,0.995,2.183549586291765e-05,5,8192,5.0,COMPLETE
19,811.2158813476562,2025-03-19 04:34:05.688880,2025-03-19 04:40:57.632733,0 days 00:06:51.943853,0.7,128,0.5,0.2,0.0034771462429724,0.98,0.95,2.0431324122021782e-05,5,8192,5.0,COMPLETE
20,282.86346435546875,2025-03-19 04:40:57.634158,2025-03-19 04:47:51.915168,0 days 00:06:54.281010,0.5,128,0.5,0.2,0.003266060536250478,0.98,0.95,0.00010082439160065667,5,8192,8.0,COMPLETE
21,804.3833618164062,2025-03-19 04:47:51.915168,2025-03-19 04:53:09.638491,0 days 00:05:17.723323,0.7,128,0.5,0.2,0.0006685326000559692,0.98,0.95,1.7375422253159303e-05,5,8192,5.0,COMPLETE
22,752.9696044921875,2025-03-19 04:53:09.638491,2025-03-19 04:58:26.066581,0 days 00:05:16.428090,0.7,128,0.5,0.2,0.004137430738920173,0.98,0.95,3.2089418146669556e-05,5,8192,5.0,COMPLETE
