Level of familiarity with cybersecurity practices,Frequency of Password Changes,Difficulty Level,Effort Required,Perceived Importance,Frequency of MFA prompts,Which types of MFA do you encounter most often? (Select all that apply),Difficulty Level MFA,Effort Required MFA,Perceived Importance of MFA,Frequency of Security Warnings,Which types of security warnings do you encounter most often? (Select all that apply),Difficulty Level Security Warnings,Effort Required Security Warnings,Perceived Importance of Security Warnings
Intermediate,Monthly,Difficult (Password complexity makes it frustrating),"High effort (I frequently change passwords, and it’s inconvenient)",Very important (I prioritize password security and take extra precautions),Monthly,"Authentication app (e.g., Google Authenticator, Microsoft Authenticator); Security key or hardware token",Very easy (MFA is effortless),No effort (MFA is seamless and quick),Very important (I fully support MFA and always comply),Quarterly,Unauthorized Access Attempts; Antivirus/Malware Notifications; Phishing Warnings,Moderate (Some security warnings are complex),High effort (I frequently deal with security alerts and they disrupt my work),Important (I take security warnings seriously)
Intermediate,Quarterly,Moderate (Some passwords are difficult to remember),"Little effort (I rarely change passwords, and it’s easy)",Important (I follow password policies carefully),Weekly,"Security key or hardware token; Biometric verification (fingerprint, facial recognition)",Moderate (Sometimes I have trouble with MFA codes),Little effort (MFA is slightly inconvenient),Moderately important (MFA is useful but sometimes annoying),Daily,I do not encounter any warnings/notifications,Difficult (I struggle to interpret or follow some warnings),No effort (Security warnings are automated and require no action),Very important (Security warnings are essential for my protection)
Beginner (No prior knowledge),Annually,Easy (Password rules are simple),"High effort (I frequently change passwords, and it’s inconvenient)","Slightly important (I recognize the need, but it’s not a priority)",Quarterly,"Authentication app (e.g., Google Authenticator, Microsoft Authenticator); Biometric verification (fingerprint, facial recognition)",Very easy (MFA is effortless),Little effort (MFA is slightly inconvenient),Slightly important (I recognize MFA’s value but don’t always use it),Monthly,I do not encounter any warnings/notifications,Difficult (I struggle to interpret or follow some warnings),No effort (Security warnings are automated and require no action),Slightly important (I recognize their value but don’t always follow them)
Advanced (Expert in cybersecurity),Daily,Moderate (Some passwords are difficult to remember),"Little effort (I rarely change passwords, and it’s easy)",Important (I follow password policies carefully),Quarterly,I do not use MFA,Difficult (I often struggle with MFA authentication),Little effort (MFA is slightly inconvenient),Slightly important (I recognize MFA’s value but don’t always use it),Quarterly,Antivirus/Malware Notifications; System Update Alerts,"Easy (Warnings are understandable, but some require effort)",High effort (I frequently deal with security alerts and they disrupt my work),Very important (Security warnings are essential for my protection)
Beginner (No prior knowledge),Quarterly,Very easy (I have no trouble managing passwords),"High effort (I frequently change passwords, and it’s inconvenient)","Slightly important (I recognize the need, but it’s not a priority)",Daily,I do not use MFA,Easy (MFA is simple to complete),Moderate effort (MFA occasionally disrupts work),Important (MFA is a critical security feature),Monthly,System Update Alerts; Phishing Warnings; Unauthorized Access Attempts,Very easy (Security warnings are clear and easy to follow),No effort (Security warnings are automated and require no action),Not important (I ignore most security warnings)
Advanced (Expert in cybersecurity),Quarterly,Difficult (Password complexity makes it frustrating),"Little effort (I rarely change passwords, and it’s easy)",Not important (I don’t think passwords matter much),Weekly,One-time passwords (OTP) via SMS or email; Security key or hardware token,Difficult (I often struggle with MFA authentication),Very high effort (MFA is frustrating and time-consuming),Very important (I fully support MFA and always comply),Quarterly,Antivirus/Malware Notifications; System Update Alerts,Moderate (Some security warnings are complex),High effort (I frequently deal with security alerts and they disrupt my work),Slightly important (I recognize their value but don’t always follow them)
Intermediate,Quarterly,Easy (Password rules are simple),"High effort (I frequently change passwords, and it’s inconvenient)","Moderately important (I take it seriously, but don’t always follow rules)",Weekly,"Authentication app (e.g., Google Authenticator, Microsoft Authenticator); Security key or hardware token",Moderate (Sometimes I have trouble with MFA codes),Little effort (MFA is slightly inconvenient),Slightly important (I recognize MFA’s value but don’t always use it),Daily,System Update Alerts; Antivirus/Malware Notifications,Moderate (Some security warnings are complex),Very high effort (Managing security warnings is overwhelming),Moderately important (Some security warnings are necessary)
Intermediate,Quarterly,Very easy (I have no trouble managing passwords),"High effort (I frequently change passwords, and it’s inconvenient)",Very important (I prioritize password security and take extra precautions),Annually,"Biometric verification (fingerprint, facial recognition); Authentication app (e.g., Google Authenticator, Microsoft Authenticator); Security key or hardware token",Easy (MFA is simple to complete),Moderate effort (MFA occasionally disrupts work),Very important (I fully support MFA and always comply),Daily,Unauthorized Access Attempts; Phishing Warnings; Antivirus/Malware Notifications,Moderate (Some security warnings are complex),Moderate effort (I read and act on some security warnings),Important (I take security warnings seriously)
Advanced (Expert in cybersecurity),Daily,Very difficult (I often struggle with forgotten passwords or resets),"Little effort (I rarely change passwords, and it’s easy)","Moderately important (I take it seriously, but don’t always follow rules)",Monthly,"One-time passwords (OTP) via SMS or email; Security key or hardware token; Authentication app (e.g., Google Authenticator, Microsoft Authenticator)",Easy (MFA is simple to complete),Moderate effort (MFA occasionally disrupts work),Important (MFA is a critical security feature),Annually,Unauthorized Access Attempts; Phishing Warnings; System Update Alerts,Moderate (Some security warnings are complex),High effort (I frequently deal with security alerts and they disrupt my work),Very important (Security warnings are essential for my protection)
Advanced (Expert in cybersecurity),Weekly,Moderate (Some passwords are difficult to remember),"High effort (I frequently change passwords, and it’s inconvenient)",Very important (I prioritize password security and take extra precautions),Monthly,"Authentication app (e.g., Google Authenticator, Microsoft Authenticator); One-time passwords (OTP) via SMS or email",Moderate (Sometimes I have trouble with MFA codes),Little effort (MFA is slightly inconvenient),Very important (I fully support MFA and always comply),Annually,System Update Alerts; Antivirus/Malware Notifications,"Easy (Warnings are understandable, but some require effort)",No effort (Security warnings are automated and require no action),Moderately important (Some security warnings are necessary)
