number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_epochs,params_n_steps,params_s_min,state
9,1719.550537,19:15.0,28:10.5,0 days 00:08:55.481877,0.5,32,0.3,0.3,0.004677524,0.98,0.995,0.000955229,20,8192,10,COMPLETE
7,2154.410889,09:53.5,13:57.0,0 days 00:04:03.474220,0.3,32,0.3,0.1,1.91E-05,0.95,0.99,0.00062677,10,2048,8,COMPLETE
8,2241.833252,13:57.0,19:15.0,0 days 00:05:18.021080,0.3,128,0.5,0.1,0.000142986,0.98,0.95,0.000142498,20,8192,10,COMPLETE
3,2487.403564,52:59.2,55:43.5,0 days 00:02:44.292563,0.3,64,0.7,0.2,0.000170274,0.95,0.95,0.000188415,5,2048,10,COMPLETE
0,2512.673828,38:49.4,42:15.8,0 days 00:03:26.440478,0.3,32,0.7,0.2,7.48E-05,0.9,0.99,5.61E-05,5,2048,10,COMPLETE
30,2648.552979,24:55.9,27:52.9,0 days 00:02:57.078579,0.3,32,0.7,0.2,0.000848759,0.9,0.99,3.42E-05,10,2048,10,COMPLETE
38,2672.090332,45:45.3,48:33.9,0 days 00:02:48.618843,0.3,32,0.7,0.2,0.006164766,0.95,0.995,1.01E-05,10,2048,5,COMPLETE
5,2673.988281,00:37.5,04:52.8,0 days 00:04:15.338595,0.3,64,0.7,0.2,1.87E-05,0.95,0.995,1.19E-05,20,2048,8,COMPLETE
40,2674.518799,51:36.5,53:52.7,0 days 00:02:16.255186,0.3,64,0.5,0.3,0.000686769,0.9,0.99,2.08E-05,5,4096,10,COMPLETE
49,2684.553955,14:32.7,17:58.5,0 days 00:03:25.875566,0.3,32,0.5,0.2,0.005092478,0.9,0.95,7.86E-05,10,4096,8,COMPLETE
1,3264.388672,42:15.8,46:00.3,0 days 00:03:44.506809,0.5,64,0.3,0.1,0.000436647,0.95,0.995,1.24E-05,20,2048,5,COMPLETE
4,3512.537598,55:43.5,00:37.5,0 days 00:04:53.999385,0.5,64,0.3,0.3,9.32E-05,0.9,0.99,0.000404897,20,4096,5,COMPLETE
29,4124.575684,22:06.0,24:55.9,0 days 00:02:49.870949,0.5,128,0.5,0.1,4.08E-05,0.95,0.99,6.36E-05,5,8192,5,COMPLETE
47,4141.513184,10:17.9,12:11.1,0 days 00:01:53.181371,0.7,128,0.5,0.3,0.002803796,0.98,0.995,4.34E-05,10,2048,5,COMPLETE
36,4187.432617,40:10.0,42:56.2,0 days 00:02:46.121321,0.5,128,0.5,0.3,0.001391682,0.9,0.99,2.41E-05,20,4096,10,COMPLETE
20,4232.879883,58:47.8,03:16.3,0 days 00:04:28.536611,0.5,128,0.5,0.3,0.000329534,0.9,0.995,3.82E-05,10,8192,8,COMPLETE
45,4675.253418,04:17.8,06:41.1,0 days 00:02:23.256110,0.5,128,0.5,0.3,0.000197321,0.9,0.995,1.38E-05,10,4096,5,COMPLETE
37,5450.825195,42:56.2,45:45.3,0 days 00:02:49.116341,0.7,64,0.3,0.1,0.002979788,0.9,0.995,4.44E-05,10,4096,5,COMPLETE
2,5492.893066,46:00.3,52:59.2,0 days 00:06:58.838534,0.7,32,0.3,0.3,1.67E-05,0.98,0.99,1.23E-05,20,4096,10,COMPLETE
46,5495.102051,06:41.1,10:17.9,0 days 00:03:36.810539,0.7,128,0.3,0.1,1.10E-05,0.95,0.995,2.25E-05,20,8192,5,COMPLETE
6,5614.964355,04:52.8,09:53.5,0 days 00:05:00.649775,0.7,32,0.3,0.3,0.000793057,0.9,0.995,0.00019514,10,4096,5,COMPLETE
