trial,params,mean_reward,std_reward
7,"{'learning_rate': 0.00015556761439304722, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 20, 'gamma': 0.995, 'gae_lambda': 0.98, 'clip_range': 0.2, 'ent_coef': 0.0, 'alpha': 0.3, 'beta': 0.7, 's_min': 5.0}",1146.3564,63.531277
8,"{'learning_rate': 8.902150854450393e-05, 'n_steps': 2048, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.2, 'ent_coef': 0.01, 'alpha': 0.5, 'beta': 0.7, 's_min': 5.0}",1854.4791,1.5862908
19,"{'learning_rate': 4.641588833612782e-05, 'n_steps': 8192, 'batch_size': 32, 'n_epochs': 5, 'gamma': 0.995, 'gae_lambda': 0.95, 'clip_range': 0.3, 'ent_coef': 0.01, 'alpha': 0.3, 'beta': 0.5, 's_min': 5.0}",2098.7817,0.9369791
48,"{'learning_rate': 0.00019630406500402724, 'n_steps': 4096, 'batch_size': 32, 'n_epochs': 10, 'gamma': 0.995, 'gae_lambda': 0.9, 'clip_range': 0.2, 'ent_coef': 0.01, 'alpha': 0.3, 'beta': 0.5, 's_min': 10.0}",2152.62,21.987251
28,"{'learning_rate': 0.00031257158496882353, 'n_steps': 8192, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.95, 'gae_lambda': 0.98, 'clip_range': 0.2, 'ent_coef': 0.005, 'alpha': 0.3, 'beta': 0.5, 's_min': 10.0}",2303.5422,4.537257
37,"{'learning_rate': 3.511191734215135e-05, 'n_steps': 4096, 'batch_size': 64, 'n_epochs': 10, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.2, 'ent_coef': 0.005, 'alpha': 0.3, 'beta': 0.7, 's_min': 10.0}",2321.058,0.009962015
17,"{'learning_rate': 2.5353644939701114e-05, 'n_steps': 2048, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.995, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.005, 'alpha': 0.3, 'beta': 0.7, 's_min': 8.0}",2322.2588,0.80864257
4,"{'learning_rate': 0.0002848035868435802, 'n_steps': 8192, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.95, 'gae_lambda': 0.98, 'clip_range': 0.2, 'ent_coef': 0.0, 'alpha': 0.3, 'beta': 0.7, 's_min': 5.0}",2363.016,8.122139
42,"{'learning_rate': 5.0941380148163855e-05, 'n_steps': 2048, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.995, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.01, 'alpha': 0.3, 'beta': 0.7, 's_min': 8.0}",2363.3677,1.1466876
40,"{'learning_rate': 2.310129700083158e-05, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 5, 'gamma': 0.95, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.005, 'alpha': 0.3, 'beta': 0.3, 's_min': 5.0}",2456.6921,0.13069731
9,"{'learning_rate': 7.054802310718646e-05, 'n_steps': 4096, 'batch_size': 64, 'n_epochs': 5, 'gamma': 0.95, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01, 'alpha': 0.3, 'beta': 0.5, 's_min': 10.0}",2464.2446,0.15680087
1,"{'learning_rate': 5.8570208180566735e-05, 'n_steps': 2048, 'batch_size': 128, 'n_epochs': 10, 'gamma': 0.95, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.0, 'alpha': 0.3, 'beta': 0.3, 's_min': 8.0}",2467.1199,0.5906082
10,"{'learning_rate': 3.199267137797385e-05, 'n_steps': 8192, 'batch_size': 128, 'n_epochs': 10, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.2, 'ent_coef': 0.005, 'alpha': 0.3, 'beta': 0.5, 's_min': 8.0}",2502.0217,0.17334002
3,"{'learning_rate': 4.037017258596558e-05, 'n_steps': 8192, 'batch_size': 32, 'n_epochs': 10, 'gamma': 0.95, 'gae_lambda': 0.98, 'clip_range': 0.1, 'ent_coef': 0.01, 'alpha': 0.3, 'beta': 0.5, 's_min': 5.0}",2623.1343,3.975428
49,"{'learning_rate': 1.0974987654930568e-05, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 5, 'gamma': 0.95, 'gae_lambda': 0.98, 'clip_range': 0.3, 'ent_coef': 0.005, 'alpha': 0.3, 'beta': 0.7, 's_min': 8.0}",2629.3306,0
29,"{'learning_rate': 4.229242874389499e-05, 'n_steps': 2048, 'batch_size': 32, 'n_epochs': 5, 'gamma': 0.995, 'gae_lambda': 0.9, 'clip_range': 0.2, 'ent_coef': 0.005, 'alpha': 0.3, 'beta': 0.3, 's_min': 10.0}",2642.221,0
23,"{'learning_rate': 8.111308307896872e-05, 'n_steps': 4096, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.95, 'gae_lambda': 0.95, 'clip_range': 0.3, 'ent_coef': 0.005, 'alpha': 0.3, 'beta': 0.5, 's_min': 5.0}",2671.269,22.096607
11,"{'learning_rate': 1.0974987654930568e-05, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 5, 'gamma': 0.95, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.01, 'alpha': 0.3, 'beta': 0.3, 's_min': 8.0}",2723.9993,0
36,"{'learning_rate': 8.111308307896872e-05, 'n_steps': 4096, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.995, 'gae_lambda': 0.98, 'clip_range': 0.1, 'ent_coef': 0.0, 'alpha': 0.5, 'beta': 0.5, 's_min': 10.0}",2989.1453,6.9683805
31,"{'learning_rate': 8.111308307896872e-05, 'n_steps': 4096, 'batch_size': 32, 'n_epochs': 5, 'gamma': 0.995, 'gae_lambda': 0.98, 'clip_range': 0.1, 'ent_coef': 0.0, 'alpha': 0.5, 'beta': 0.3, 's_min': 8.0}",3379.8406,0.94255936
5,"{'learning_rate': 0.0007924828983539178, 'n_steps': 8192, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.99, 'gae_lambda': 0.9, 'clip_range': 0.3, 'ent_coef': 0.0, 'alpha': 0.5, 'beta': 0.7, 's_min': 10.0}",3542.621,23.698917
44,"{'learning_rate': 0.00025950242113997375, 'n_steps': 4096, 'batch_size': 32, 'n_epochs': 5, 'gamma': 0.995, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.01, 'alpha': 0.5, 'beta': 0.7, 's_min': 10.0}",3642.5085,3.8851182
15,"{'learning_rate': 4.430621457583878e-05, 'n_steps': 8192, 'batch_size': 32, 'n_epochs': 5, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.3, 'ent_coef': 0.01, 'alpha': 0.5, 'beta': 0.5, 's_min': 8.0}",3734.636,0.8157402
30,"{'learning_rate': 0.0007924828983539178, 'n_steps': 8192, 'batch_size': 32, 'n_epochs': 10, 'gamma': 0.95, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.005, 'alpha': 0.5, 'beta': 0.7, 's_min': 8.0}",3954.024,6.4512424
12,"{'learning_rate': 1.5922827933410938e-05, 'n_steps': 2048, 'batch_size': 32, 'n_epochs': 10, 'gamma': 0.99, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.005, 'alpha': 0.5, 'beta': 0.5, 's_min': 8.0}",4107.947,0.34930748
2,"{'learning_rate': 4.229242874389499e-05, 'n_steps': 4096, 'batch_size': 32, 'n_epochs': 5, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.1, 'ent_coef': 0.005, 'alpha': 0.5, 'beta': 0.5, 's_min': 5.0}",4111.44,1.2813915
0,"{'learning_rate': 0.00010235310218990269, 'n_steps': 2048, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.995, 'gae_lambda': 0.98, 'clip_range': 0.2, 'ent_coef': 0.005, 'alpha': 0.5, 'beta': 0.5, 's_min': 10.0}",4199.563,0.01824108
33,"{'learning_rate': 1.917910261672489e-05, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 10, 'gamma': 0.95, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.005, 'alpha': 0.5, 'beta': 0.7, 's_min': 5.0}",4209.459,0.2571903
27,"{'learning_rate': 0.00017073526474706922, 'n_steps': 2048, 'batch_size': 32, 'n_epochs': 5, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.2, 'ent_coef': 0.005, 'alpha': 0.5, 'beta': 0.3, 's_min': 5.0}",4230.0986,0.1919923
43,"{'learning_rate': 0.00021544346900318845, 'n_steps': 8192, 'batch_size': 128, 'n_epochs': 10, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.1, 'ent_coef': 0.01, 'alpha': 0.5, 'beta': 0.3, 's_min': 5.0}",4254.357,97.61326
25,"{'learning_rate': 0.00013530477745798074, 'n_steps': 2048, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.3, 'ent_coef': 0.01, 'alpha': 0.7, 'beta': 0.5, 's_min': 10.0}",4264.876,9.074739
21,"{'learning_rate': 1.917910261672489e-05, 'n_steps': 8192, 'batch_size': 64, 'n_epochs': 5, 'gamma': 0.95, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.01, 'alpha': 0.7, 'beta': 0.7, 's_min': 5.0}",4296.888,4.583817
18,"{'learning_rate': 7.054802310718646e-05, 'n_steps': 8192, 'batch_size': 128, 'n_epochs': 10, 'gamma': 0.995, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.0, 'alpha': 0.5, 'beta': 0.5, 's_min': 5.0}",4395.1045,1.5914115
41,"{'learning_rate': 1e-05, 'n_steps': 4096, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.99, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.0, 'alpha': 0.5, 'beta': 0.5, 's_min': 8.0}",4404.444,0
35,"{'learning_rate': 1e-05, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 5, 'gamma': 0.99, 'gae_lambda': 0.9, 'clip_range': 0.3, 'ent_coef': 0.0, 'alpha': 0.5, 'beta': 0.5, 's_min': 8.0}",4464.684,0.17766944
