Level of familiarity with cybersecurity practices,Frequency of Password Changes,Difficulty Level,Effort Required,Perceived Importance,Frequency of MFA prompts,Difficulty Level MFA,Effort Required MFA,Perceived Importance of MFA,Frequency of Security Warnings,Difficulty Level Security Warnings,Effort Required Security Warnings,Perceived Importance of Security Warnings,"Which types of MFA do you encounter most often? (Select all that apply)_Authentication app (e.g., Google Authenticator, Microsoft Authenticator)","Which types of MFA do you encounter most often? (Select all that apply)_Biometric verification (fingerprint, facial recognition)",Which types of MFA do you encounter most often? (Select all that apply)_I do not use MFA,Which types of MFA do you encounter most often? (Select all that apply)_One-time passwords (OTP) via SMS or email,Which types of MFA do you encounter most often? (Select all that apply)_Security key or hardware token,Which types of security warnings do you encounter most often? (Select all that apply)_Antivirus/Malware Notifications,Which types of security warnings do you encounter most often? (Select all that apply)_I do not encounter any warnings/notifications,Which types of security warnings do you encounter most often? (Select all that apply)_Phishing Warnings,Which types of security warnings do you encounter most often? (Select all that apply)_System Update Alerts,Which types of security warnings do you encounter most often? (Select all that apply)_Unauthorized Access Attempts,Average Fatigue Score
1,3,4,4,5,3,1,1,5,2,3,4,4,1,0,0,0,1,1,0,1,0,1,6.75
1,2,3,2,4,4,3,2,3,5,4,1,5,0,1,0,0,1,0,1,0,0,0,6.25
2,1,2,4,2,2,1,2,2,3,4,1,2,1,1,0,0,0,0,1,0,0,0,6.0
0,5,3,2,4,2,4,2,2,2,2,4,5,0,0,1,0,0,1,0,0,1,0,6.233333333333333
2,2,1,4,2,5,2,3,4,3,1,1,1,0,0,1,0,0,0,0,1,1,1,7.25
0,2,4,2,1,4,4,5,5,2,3,4,2,0,0,0,1,1,1,0,0,1,0,14.666666666666666
1,2,2,4,3,4,3,2,2,5,3,5,3,1,0,0,0,1,1,0,0,1,0,17.63888888888889
1,2,1,4,5,1,2,3,5,5,3,3,4,1,1,0,0,1,1,0,1,0,1,5.854166666666667
0,5,5,2,3,3,2,3,4,1,3,4,5,1,0,0,1,1,0,0,1,1,1,7.855555555555555
0,4,3,4,5,3,3,2,5,1,2,1,3,1,0,0,1,0,1,0,0,1,0,4.622222222222222
