trial,params,mean_reward,std_reward
0,"{'learning_rate': 0.00019630406500402724, 'n_steps': 2048, 'batch_size': 128, 'n_epochs': 10, 'gamma': 0.99, 'gae_lambda': 0.98, 'clip_range': 0.3, 'ent_coef': 0.005, 'alpha': 0.3, 'beta': 0.5, 's_min': 5.0}",-87.07301,0.31798545
1,"{'learning_rate': 6.734150657750829e-05, 'n_steps': 8192, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.99, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.0, 'alpha': 0.5, 'beta': 0.5, 's_min': 5.0}",401.4809,1.1692309
2,"{'learning_rate': 0.0005462277217684342, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 10, 'gamma': 0.995, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.0, 'alpha': 0.5, 'beta': 0.3, 's_min': 10.0}",271.857,0.4137854
3,"{'learning_rate': 1.747528400007683e-05, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 10, 'gamma': 0.995, 'gae_lambda': 0.98, 'clip_range': 0.1, 'ent_coef': 0.0, 'alpha': 0.5, 'beta': 0.7, 's_min': 8.0}",-285.19775,1.4224786
4,"{'learning_rate': 7.742636826811278e-05, 'n_steps': 4096, 'batch_size': 64, 'n_epochs': 10, 'gamma': 0.99, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.005, 'alpha': 0.3, 'beta': 0.7, 's_min': 10.0}",-409.71338,0.685735
5,"{'learning_rate': 3.351602650938841e-05, 'n_steps': 8192, 'batch_size': 128, 'n_epochs': 10, 'gamma': 0.99, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01, 'alpha': 0.7, 'beta': 0.7, 's_min': 8.0}",354.16595,0.49782
6,"{'learning_rate': 0.00029836472402833405, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 20, 'gamma': 0.99, 'gae_lambda': 0.9, 'clip_range': 0.1, 'ent_coef': 0.01, 'alpha': 0.5, 'beta': 0.7, 's_min': 10.0}",-249.24133,11.062355
7,"{'learning_rate': 0.00020565123083486514, 'n_steps': 2048, 'batch_size': 32, 'n_epochs': 10, 'gamma': 0.995, 'gae_lambda': 0.98, 'clip_range': 0.1, 'ent_coef': 0.005, 'alpha': 0.5, 'beta': 0.5, 's_min': 10.0}",-331.01544,16.257391
8,"{'learning_rate': 0.0003430469286314919, 'n_steps': 8192, 'batch_size': 64, 'n_epochs': 10, 'gamma': 0.95, 'gae_lambda': 0.98, 'clip_range': 0.1, 'ent_coef': 0.0, 'alpha': 0.5, 'beta': 0.3, 's_min': 10.0}",-10.479189,1.4910737
9,"{'learning_rate': 5.3366992312063123e-05, 'n_steps': 8192, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.995, 'gae_lambda': 0.95, 'clip_range': 0.3, 'ent_coef': 0.01, 'alpha': 0.5, 'beta': 0.3, 's_min': 8.0}",192.08383,0.31657922
10,"{'learning_rate': 0.0005994842503189409, 'n_steps': 8192, 'batch_size': 128, 'n_epochs': 10, 'gamma': 0.95, 'gae_lambda': 0.9, 'clip_range': 0.2, 'ent_coef': 0.01, 'alpha': 0.5, 'beta': 0.7, 's_min': 5.0}",267.50864,1.2242486
11,"{'learning_rate': 7.390722033525775e-05, 'n_steps': 4096, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.99, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.0, 'alpha': 0.5, 'beta': 0.5, 's_min': 8.0}",-57.763977,0.7926477
12,"{'learning_rate': 0.00011768119524349992, 'n_steps': 2048, 'batch_size': 64, 'n_epochs': 20, 'gamma': 0.99, 'gae_lambda': 0.9, 'clip_range': 0.3, 'ent_coef': 0.0, 'alpha': 0.3, 'beta': 0.7, 's_min': 10.0}",-224.45871,32.686855
